Date,mp_id,rc_id,Actual_Revenue,Forecasted_Revenue
2024-04-11,0,5,0.0,804.4007584398513
2024-04-12,0,5,0.0,804.4007584398513
2024-04-13,0,5,16.0,804.4007584398513
2024-04-14,0,5,0.0,804.4007584398513
2024-04-15,0,5,9.0,804.4007584398513
2024-04-16,0,5,0.0,804.4007584398513
2024-04-17,0,5,0.0,804.4007584398513
2024-04-18,0,5,0.0,804.4007584398513
2024-04-19,0,5,77.0,804.4007584398513
2024-04-20,0,5,0.0,804.4007584398513
2024-04-21,0,5,0.0,804.4007584398513
2024-04-22,0,5,0.0,804.4007584398513
2024-04-23,0,5,32.0,804.4007584398513
2024-04-24,0,5,0.0,804.4007584398513
2024-04-25,0,5,6.0,804.4007584398513
2024-04-26,0,5,33.0,804.4007584398513
2024-04-27,0,5,9.0,804.4007584398513
2024-04-28,0,5,0.0,804.4007584398513
2024-04-29,0,5,0.0,804.4007584398513
2024-04-30,0,5,43.0,804.4007584398513
2024-04-01,0,6,0.0,711.6962006960692
2024-04-02,0,6,0.0,711.6962006960692
2024-04-03,0,6,0.0,711.6962006960692
2024-04-04,0,6,0.0,711.6962006960692
2024-04-05,0,6,0.0,711.6962006960692
2024-04-06,0,6,0.0,711.6962006960692
2024-04-07,0,6,0.0,711.6962006960692
2024-04-08,0,6,0.0,711.6962006960692
2024-04-09,0,6,0.0,711.6962006960692
2024-04-10,0,6,0.0,711.6962006960692
2024-04-11,0,6,0.0,711.6962006960692
2024-04-12,0,6,0.0,711.6962006960692
2024-04-13,0,6,0.0,711.6962006960692
2024-04-14,0,6,0.0,711.6962006960692
2024-04-15,0,6,0.0,711.6962006960692
2024-04-16,0,6,0.0,711.6962006960692
2024-04-17,0,6,0.0,711.6962006960692
2024-04-18,0,6,0.0,711.6962006960692
2024-04-19,0,6,0.0,711.6962006960692
2024-04-20,0,6,0.0,711.6962006960692
2024-04-21,0,6,0.0,711.6962006960692
2024-04-22,0,6,0.0,711.6962006960692
2024-04-23,0,6,0.0,711.6962006960692
2024-04-24,0,6,0.0,711.6962006960692
2024-04-25,0,6,0.0,711.6962006960692
2024-04-26,0,6,0.0,711.6962006960692
2024-04-27,0,6,0.0,711.6962006960692
2024-04-28,0,6,0.0,711.6962006960692
2024-04-29,0,6,0.0,711.6962006960692
2024-04-30,0,6,0.0,711.6962006960692
