Date,MealPeriod,RevenueCenterName,Revenue_forecast
2024-05-07,BreakFast,RevenueCenter_7,6.3658457
2024-05-08,BreakFast,RevenueCenter_7,6.3421407
2024-05-09,BreakFast,RevenueCenter_7,4.6413746
2024-05-10,BreakFast,RevenueCenter_7,4.4564457
2024-05-11,BreakFast,RevenueCenter_7,4.16873
2024-05-12,BreakFast,RevenueCenter_7,1.3917532
2024-05-13,BreakFast,RevenueCenter_7,3.5330238
2024-05-14,BreakFast,RevenueCenter_7,6.233711
2024-05-15,BreakFast,RevenueCenter_7,6.524562
2024-05-16,BreakFast,RevenueCenter_7,4.7604
2024-05-17,BreakFast,RevenueCenter_7,4.560872
2024-05-18,BreakFast,RevenueCenter_7,4.3074894
2024-05-19,BreakFast,RevenueCenter_7,1.408226
2024-05-20,BreakFast,RevenueCenter_7,3.655138
2024-05-21,BreakFast,RevenueCenter_7,6.4700913
2024-05-22,BreakFast,RevenueCenter_7,6.8529196
2024-05-23,BreakFast,RevenueCenter_7,5.0158997
2024-05-24,BreakFast,RevenueCenter_7,4.8006287
2024-05-25,BreakFast,RevenueCenter_7,4.578808
2024-05-26,BreakFast,RevenueCenter_7,1.5646591
2024-05-27,BreakFast,RevenueCenter_7,3.8503876
2024-05-28,BreakFast,RevenueCenter_7,6.710935
2024-05-29,BreakFast,RevenueCenter_7,7.1528993
2024-05-30,BreakFast,RevenueCenter_7,5.247529
2024-05-01,BreakFast,RevenueCenter_8,-1.5497566e-08
2024-05-02,BreakFast,RevenueCenter_8,-2.5947855e-08
2024-05-03,BreakFast,RevenueCenter_8,-2.3727514e-08
2024-05-04,BreakFast,RevenueCenter_8,-1.8617802e-08
2024-05-05,BreakFast,RevenueCenter_8,-3.367782e-08
2024-05-06,BreakFast,RevenueCenter_8,-3.2797516e-08
2024-05-07,BreakFast,RevenueCenter_8,-2.6740045e-08
2024-05-08,BreakFast,RevenueCenter_8,-2.6027688e-08
2024-05-09,BreakFast,RevenueCenter_8,-3.194855e-08
2024-05-10,BreakFast,RevenueCenter_8,-3.001805e-08
2024-05-11,BreakFast,RevenueCenter_8,-2.5105983e-08
2024-05-12,BreakFast,RevenueCenter_8,-4.150514e-08
2024-05-13,BreakFast,RevenueCenter_8,-3.845594e-08
2024-05-14,BreakFast,RevenueCenter_8,-2.9454577e-08
2024-05-15,BreakFast,RevenueCenter_8,-2.666249e-08
2024-05-16,BreakFast,RevenueCenter_8,-3.233159e-08
2024-05-17,BreakFast,RevenueCenter_8,-3.045827e-08
2024-05-18,BreakFast,RevenueCenter_8,-2.5271833e-08
2024-05-19,BreakFast,RevenueCenter_8,-4.21085e-08
2024-05-20,BreakFast,RevenueCenter_8,-3.815088e-08
2024-05-21,BreakFast,RevenueCenter_8,-2.8471666e-08
2024-05-22,BreakFast,RevenueCenter_8,-2.5132957e-08
2024-05-23,BreakFast,RevenueCenter_8,-3.1081907e-08
2024-05-24,BreakFast,RevenueCenter_8,-2.9337626e-08
2024-05-25,BreakFast,RevenueCenter_8,-2.4108493e-08
2024-05-26,BreakFast,RevenueCenter_8,-4.1546436e-08
2024-05-27,BreakFast,RevenueCenter_8,-3.717969e-08
2024-05-28,BreakFast,RevenueCenter_8,-2.7253478e-08
2024-05-29,BreakFast,RevenueCenter_8,-2.3586866e-08
2024-05-30,BreakFast,RevenueCenter_8,-2.9855848e-08
2024-05-01,BreakFast,RevenueCenter_9,226.33708
2024-05-02,BreakFast,RevenueCenter_9,203.37125
2024-05-03,BreakFast,RevenueCenter_9,201.48364
2024-05-04,BreakFast,RevenueCenter_9,202.38707
2024-05-05,BreakFast,RevenueCenter_9,180.35185
2024-05-06,BreakFast,RevenueCenter_9,188.91168
2024-05-07,BreakFast,RevenueCenter_9,205.05165
2024-05-08,BreakFast,RevenueCenter_9,203.2658
2024-05-09,BreakFast,RevenueCenter_9,188.89127
2024-05-10,BreakFast,RevenueCenter_9,189.68726
2024-05-11,BreakFast,RevenueCenter_9,192.85846
2024-05-12,BreakFast,RevenueCenter_9,170.07431
2024-05-13,BreakFast,RevenueCenter_9,180.93951
2024-05-14,BreakFast,RevenueCenter_9,202.98877
2024-05-15,BreakFast,RevenueCenter_9,204.03098
2024-05-16,BreakFast,RevenueCenter_9,188.98276
2024-05-17,BreakFast,RevenueCenter_9,189.75328
2024-05-18,BreakFast,RevenueCenter_9,193.37718
2024-05-19,BreakFast,RevenueCenter_9,169.78586
2024-05-20,BreakFast,RevenueCenter_9,181.61212
2024-05-21,BreakFast,RevenueCenter_9,205.07645
2024-05-22,BreakFast,RevenueCenter_9,206.67522
2024-05-23,BreakFast,RevenueCenter_9,190.74728
2024-05-24,BreakFast,RevenueCenter_9,191.44174
2024-05-25,BreakFast,RevenueCenter_9,195.26785
2024-05-26,BreakFast,RevenueCenter_9,170.85754
2024-05-27,BreakFast,RevenueCenter_9,183.07669
2024-05-28,BreakFast,RevenueCenter_9,207.22006
2024-05-29,BreakFast,RevenueCenter_9,209.14124
2024-05-30,BreakFast,RevenueCenter_9,192.37674
2024-05-01,Dinner,RevenueCenter_1,2659.1726
2024-05-02,Dinner,RevenueCenter_1,2717.5127
2024-05-03,Dinner,RevenueCenter_1,2041.408
2024-05-04,Dinner,RevenueCenter_1,1467.8682
2024-05-05,Dinner,RevenueCenter_1,1016.7677
2024-05-06,Dinner,RevenueCenter_1,1002.7578
2024-05-07,Dinner,RevenueCenter_1,815.20496
2024-05-08,Dinner,RevenueCenter_1,679.28125
2024-05-09,Dinner,RevenueCenter_1,543.0299
2024-05-10,Dinner,RevenueCenter_1,577.0294
2024-05-11,Dinner,RevenueCenter_1,770.95337
2024-05-12,Dinner,RevenueCenter_1,747.0116
2024-05-13,Dinner,RevenueCenter_1,756.87146
2024-05-14,Dinner,RevenueCenter_1,703.3701
2024-05-15,Dinner,RevenueCenter_1,637.312
2024-05-16,Dinner,RevenueCenter_1,517.69507
2024-05-17,Dinner,RevenueCenter_1,550.9972
2024-05-18,Dinner,RevenueCenter_1,766.8124
2024-05-19,Dinner,RevenueCenter_1,751.985
2024-05-20,Dinner,RevenueCenter_1,754.45825
2024-05-21,Dinner,RevenueCenter_1,701.527
2024-05-22,Dinner,RevenueCenter_1,637.6953
2024-05-23,Dinner,RevenueCenter_1,516.6758
2024-05-24,Dinner,RevenueCenter_1,550.94116
2024-05-25,Dinner,RevenueCenter_1,777.2898
2024-05-26,Dinner,RevenueCenter_1,765.40393
2024-05-27,Dinner,RevenueCenter_1,760.42395
2024-05-28,Dinner,RevenueCenter_1,707.01685
2024-05-29,Dinner,RevenueCenter_1,642.5775
2024-05-30,Dinner,RevenueCenter_1,518.73364
2024-05-01,Dinner,RevenueCenter_2,341.16052
2024-05-02,Dinner,RevenueCenter_2,365.52148
2024-05-03,Dinner,RevenueCenter_2,389.11932
2024-05-04,Dinner,RevenueCenter_2,422.26047
